a;b;c;result
100;75;5;둔각
86;22;72;예각
8;85;87;예각
61;42;77;예각
128;39;13;둔각
35;126;19;둔각
11;162;7;둔각
97;26;57;둔각
15;39;126;둔각
47;62;71;예각
46;110;24;둔각
123;39;18;둔각
8;66;106;둔각
13;19;148;둔각
78;24;78;예각
25;47;108;둔각
67;26;87;예각
71;1;108;둔각
70;108;2;둔각
53;119;8;둔각
137;29;14;둔각
67;36;77;예각
21;46;113;둔각
35;63;82;예각
53;104;23;둔각
21;43;116;둔각
71;76;33;예각
72;75;33;예각
72;9;99;둔각
59;94;27;둔각
99;22;59;둔각
6;128;46;둔각
32;42;106;둔각
15;69;96;둔각
33;102;45;둔각
64;108;8;둔각
70;93;17;둔각
50;129;1;둔각
19;98;63;둔각
103;23;54;둔각
138;31;11;둔각
70;76;34;예각
36;98;46;둔각
81;12;87;예각
37;51;92;둔각
30;90;60;직각
29;138;13;둔각
147;19;14;둔각
72;39;69;예각
135;11;34;둔각
16;63;101;둔각
48;37;95;둔각
33;101;46;둔각
68;75;37;예각
83;14;83;예각
21;1;158;둔각
55;23;102;둔각
106;71;3;둔각
48;38;94;둔각
141;20;19;둔각
86;84;10;예각
54;122;4;둔각
28;83;69;예각
42;76;62;예각
79;72;29;예각
50;111;19;둔각
9;94;77;둔각
44;79;57;예각
106;9;65;둔각
19;146;15;둔각
104;61;15;둔각
47;87;46;예각
42;105;33;둔각
37;32;111;둔각
11;72;97;둔각
143;36;1;둔각
18;73;89;예각
9;165;6;둔각
41;16;123;둔각
23;42;115;둔각
10;35;135;둔각
71;108;1;둔각
6;107;67;둔각
8;90;82;직각
71;39;70;예각
23;52;105;둔각
37;76;67;예각
22;119;39;둔각
54;119;7;둔각
54;6;120;둔각
50;66;64;예각
8;165;7;둔각
56;10;114;둔각
5;138;37;둔각
24;27;129;둔각
42;26;112;둔각
42;38;100;둔각
53;117;10;둔각
42;33;105;둔각
86;86;8;예각
98;18;64;둔각
17;54;109;둔각
110;19;51;둔각
22;140;18;둔각
68;31;81;예각
1;61;118;둔각
51;39;90;직각
119;3;58;둔각
91;62;27;둔각
21;67;92;둔각
95;15;70;둔각
139;38;3;둔각
14;158;8;둔각
97;6;77;둔각
159;1;20;둔각
48;128;4;둔각
105;51;24;둔각
53;90;37;직각
55;108;17;둔각
54;4;122;둔각
59;75;46;예각
55;51;74;예각
74;45;61;예각
77;36;67;예각
36;56;88;예각
107;5;68;둔각
74;20;86;예각
35;134;11;둔각
41;3;136;둔각
57;105;18;둔각
3;171;6;둔각
118;19;43;둔각
33;134;13;둔각
146;31;3;둔각
61;24;95;둔각
95;56;29;둔각
93;56;31;둔각
79;64;37;예각
45;3;132;둔각
122;33;25;둔각
141;10;29;둔각
99;80;1;둔각
43;117;20;둔각
13;23;144;둔각
80;61;39;예각
10;165;5;둔각
36;40;104;둔각
53;6;121;둔각
3;74;103;둔각
129;5;46;둔각
25;80;75;예각
95;57;28;둔각
1;60;119;둔각
3;122;55;둔각
6;60;114;둔각
54;67;59;예각
12;89;79;예각
44;114;22;둔각
123;17;40;둔각
29;59;92;둔각
92;51;37;둔각
125;51;4;둔각
3;116;61;둔각
15;97;68;둔각
111;22;47;둔각
129;38;13;둔각
18;121;41;둔각
34;141;5;둔각
61;53;66;예각
46;82;52;예각
100;56;24;둔각
2;101;77;둔각
97;1;82;둔각
76;64;40;예각
130;1;49;둔각
87;30;63;예각
75;36;69;예각
42;119;19;둔각
83;87;10;예각
32;7;141;둔각
129;43;8;둔각
1;70;109;둔각
22;54;104;둔각
68;45;67;예각
28;86;66;예각
17;23;140;둔각
62;40;78;예각
37;96;47;둔각
41;135;4;둔각
104;20;56;둔각
15;91;74;둔각
163;4;13;둔각
73;102;5;둔각
11;120;49;둔각
9;163;8;둔각
54;79;47;예각
35;48;97;둔각
141;5;34;둔각
84;61;35;예각
34;85;61;예각
22;154;4;둔각
90;2;88;직각
34;92;54;둔각
36;84;60;예각
71;105;4;둔각
105;18;57;둔각
89;71;20;예각
10;169;1;둔각
20;2;158;둔각
62;70;48;예각
67;23;90;직각
73;18;89;예각
83;55;42;예각
142;6;32;둔각
40;68;72;예각
57;24;99;둔각
61;91;28;둔각
84;88;8;예각
42;42;96;둔각
10;145;25;둔각
117;23;40;둔각
68;7;105;둔각
94;39;47;둔각
104;63;13;둔각
61;3;116;둔각
41;88;51;예각
125;37;18;둔각
112;57;11;둔각
110;16;54;둔각
65;20;95;둔각
121;55;4;둔각
27;140;13;둔각
80;59;41;예각
91;45;44;둔각
23;107;50;둔각
48;104;28;둔각
16;34;130;둔각
55;46;79;예각
95;10;75;둔각
55;63;62;예각
56;86;38;예각
86;37;57;예각
50;33;97;둔각
87;45;48;예각
26;17;137;둔각
128;5;47;둔각
6;91;83;둔각
89;65;26;예각
59;106;15;둔각
161;15;4;둔각
43;35;102;둔각
28;134;18;둔각
8;44;128;둔각
100;48;32;둔각
109;53;18;둔각
67;85;28;예각
18;125;37;둔각
58;92;30;둔각
50;58;72;예각
146;23;11;둔각
103;76;1;둔각
130;15;35;둔각
42;135;3;둔각
91;36;53;둔각
69;9;102;둔각
34;130;16;둔각
36;72;72;예각
14;155;11;둔각
84;6;90;직각
35;133;12;둔각
17;84;79;예각
26;9;145;둔각
22;12;146;둔각
107;2;71;둔각
66;106;8;둔각
144;25;11;둔각
173;5;2;둔각
49;26;105;둔각
31;146;3;둔각
34;59;87;예각
39;129;12;둔각
8;136;36;둔각
130;3;47;둔각
68;24;88;예각
41;84;55;예각
74;102;4;둔각
34;114;32;둔각
57;110;13;둔각
93;62;25;둔각
64;98;18;둔각
22;52;106;둔각
13;12;155;둔각
55;117;8;둔각
119;16;45;둔각
66;14;100;둔각
17;10;153;둔각
95;39;46;둔각
72;82;26;예각
29;140;11;둔각
92;81;7;둔각
140;17;23;둔각
22;24;134;둔각
119;14;47;둔각
84;3;93;둔각
9;90;81;직각
12;88;80;예각
34;134;12;둔각
102;35;43;둔각
54;23;103;둔각
7;34;139;둔각
26;23;131;둔각
19;10;151;둔각
7;133;40;둔각
37;122;21;둔각
45;48;87;예각
13;92;75;둔각
4;57;119;둔각
143;29;8;둔각
47;39;94;둔각
9;150;21;둔각
49;105;26;둔각
101;73;6;둔각
24;100;56;둔각
164;7;9;둔각
29;12;139;둔각
42;57;81;예각
28;21;131;둔각
32;55;93;둔각
112;32;36;둔각
127;33;20;둔각
131;4;45;둔각
96;61;23;둔각
13;4;163;둔각
40;83;57;예각
125;4;51;둔각
12;17;151;둔각
44;71;65;예각
20;86;74;예각
32;43;105;둔각
92;20;68;둔각
60;8;112;둔각
4;156;20;둔각
100;55;25;둔각
46;118;16;둔각
11;130;39;둔각
131;41;8;둔각
6;155;19;둔각
64;30;86;예각
67;97;16;둔각
123;51;6;둔각
4;161;15;둔각
70;68;42;예각
37;79;64;예각
7;132;41;둔각
39;66;75;예각
67;65;48;예각
36;3;141;둔각
59;103;18;둔각
41;75;64;예각
54;13;113;둔각
61;61;58;예각
115;13;52;둔각
45;11;124;둔각
148;30;2;둔각
1;67;112;둔각
21;71;88;예각
72;93;15;둔각
22;145;13;둔각
54;98;28;둔각
7;3;170;둔각
117;21;42;둔각
20;33;127;둔각
72;24;84;예각
77;9;94;둔각
4;146;30;둔각
111;37;32;둔각
26;74;80;예각
57;79;44;예각
140;36;4;둔각
13;159;8;둔각
38;122;20;둔각
119;35;26;둔각
3;103;74;둔각
14;46;120;둔각
98;13;69;둔각
12;161;7;둔각
8;26;146;둔각
13;38;129;둔각
60;12;108;둔각
152;26;2;둔각
83;27;70;예각
15;1;164;둔각
127;6;47;둔각
64;62;54;예각
149;7;24;둔각
69;27;84;예각
94;57;29;둔각
1;112;67;둔각
36;61;83;예각
5;23;152;둔각
15;23;142;둔각
11;89;80;예각
37;93;50;둔각
59;81;40;예각
111;45;24;둔각
68;100;12;둔각
3;35;142;둔각
102;75;3;둔각
13;165;2;둔각
18;111;51;둔각
12;118;50;둔각
126;5;49;둔각
46;89;45;예각
3;104;73;둔각
81;18;81;예각
156;10;14;둔각
67;84;29;예각
13;64;103;둔각
42;32;106;둔각
57;122;1;둔각
162;17;1;둔각
67;43;70;예각
60;39;81;예각
7;57;116;둔각
33;69;78;예각
53;67;60;예각
16;141;23;둔각
19;93;68;둔각
34;11;135;둔각
54;22;104;둔각
78;15;87;예각
45;129;6;둔각
75;64;41;예각
140;11;29;둔각
67;5;108;둔각
15;116;49;둔각
44;84;52;예각
29;118;33;둔각
73;89;18;예각
69;70;41;예각
39;108;33;둔각
69;102;9;둔각
39;76;65;예각
119;43;18;둔각
26;117;37;둔각
82;77;21;예각
67;83;30;예각
80;7;93;둔각
8;119;53;둔각
28;142;10;둔각
68;111;1;둔각
103;38;39;둔각
17;143;20;둔각
67;110;3;둔각
132;27;21;둔각
70;82;28;예각
121;6;53;둔각
109;56;15;둔각
79;95;6;둔각
52;75;53;예각
116;58;6;둔각
44;5;131;둔각
44;70;66;예각
31;110;39;둔각
8;64;108;둔각
67;40;73;예각
141;37;2;둔각
80;80;20;예각
44;129;7;둔각
118;4;58;둔각
5;157;18;둔각
107;3;70;둔각
28;56;96;둔각
46;106;28;둔각
66;33;81;예각
55;81;44;예각
99;23;58;둔각
26;77;77;예각
5;50;125;둔각
45;122;13;둔각
3;166;11;둔각
22;118;40;둔각
13;62;105;둔각
78;43;59;예각
3;158;19;둔각
52;71;57;예각
123;47;10;둔각
47;104;29;둔각
12;110;58;둔각
33;81;66;예각
81;77;22;예각
5;119;56;둔각
11;53;116;둔각
135;15;30;둔각
81;63;36;예각
34;66;80;예각
39;25;116;둔각
109;59;12;둔각
130;11;39;둔각
84;65;31;예각
49;45;86;예각
80;1;99;둔각
51;80;49;예각
27;61;92;둔각
35;103;42;둔각
46;67;67;예각
167;9;4;둔각
119;7;54;둔각
45;21;114;둔각
18;47;115;둔각
3;36;141;둔각
66;40;74;예각
94;66;20;둔각
69;66;45;예각
47;128;5;둔각
49;127;4;둔각
61;109;10;둔각
52;35;93;둔각
10;64;106;둔각
59;42;79;예각
15;81;84;예각
109;50;21;둔각
16;37;127;둔각
139;10;31;둔각
28;116;36;둔각
15;52;113;둔각
1;124;55;둔각
27;86;67;예각
44;86;50;예각
29;80;71;예각
150;11;19;둔각
25;42;113;둔각
66;105;9;둔각
115;18;47;둔각
93;22;65;둔각
70;56;54;예각
42;114;24;둔각
64;9;107;둔각
133;16;31;둔각
112;5;63;둔각
52;105;23;둔각
34;126;20;둔각
100;79;1;둔각
29;9;142;둔각
21;133;26;둔각
77;86;17;예각
56;119;5;둔각
52;106;22;둔각
34;127;19;둔각
168;10;2;둔각
42;112;26;둔각
94;13;73;둔각
78;29;73;예각
49;39;92;둔각
146;32;2;둔각
108;34;38;둔각
5;156;19;둔각
64;58;58;예각
125;7;48;둔각
108;2;70;둔각
55;78;47;예각
24;59;97;둔각
147;31;2;둔각
76;5;99;둔각
14;64;102;둔각
26;135;19;둔각
32;32;116;둔각
7;43;130;둔각
73;57;50;예각
24;134;22;둔각
116;5;59;둔각
28;66;86;예각
20;54;106;둔각
126;4;50;둔각
37;52;91;둔각
34;91;55;둔각
138;4;38;둔각
101;74;5;둔각
21;101;58;둔각
22;153;5;둔각
88;77;15;예각
132;13;35;둔각
85;80;15;예각
73;104;3;둔각
31;51;98;둔각
40;114;26;둔각
24;81;75;예각
61;5;114;둔각
11;135;34;둔각
34;104;42;둔각
49;43;88;예각
52;99;29;둔각
99;40;41;둔각
68;66;46;예각
57;56;67;예각
1;171;8;둔각
2;11;167;둔각
27;36;117;둔각
19;21;140;둔각
141;26;13;둔각
41;65;74;예각
30;29;121;둔각
11;119;50;둔각
24;68;88;예각
105;37;38;둔각
25;125;30;둔각
66;59;55;예각
69;74;37;예각
37;100;43;둔각
143;14;23;둔각
35;123;22;둔각
52;28;100;둔각
73;105;2;둔각
134;2;44;둔각
68;36;76;예각
8;147;25;둔각
57;113;10;둔각
24;47;109;둔각
93;57;30;둔각
51;38;91;둔각
103;6;71;둔각
59;62;59;예각
44;57;79;예각
66;36;78;예각
61;1;118;둔각
133;30;17;둔각
56;109;15;둔각
47;81;52;예각
39;103;38;둔각
121;20;39;둔각
106;6;68;둔각
9;42;129;둔각
85;82;13;예각
152;3;25;둔각
109;46;25;둔각
151;18;11;둔각
28;71;81;예각
83;23;74;예각
5;166;9;둔각
66;107;7;둔각
117;62;1;둔각
104;51;25;둔각
144;22;14;둔각
78;38;64;예각
13;129;38;둔각
140;28;12;둔각
46;51;83;예각
132;11;37;둔각
104;41;35;둔각
25;145;10;둔각
70;36;74;예각
116;51;13;둔각
14;25;141;둔각
24;139;17;둔각
90;55;35;직각
106;22;52;둔각
32;88;60;예각
58;34;88;예각
105;62;13;둔각
113;2;65;둔각
12;29;139;둔각
9;113;58;둔각
76;43;61;예각
80;98;2;둔각
112;20;48;둔각
22;90;68;직각
30;68;82;예각
46;21;113;둔각
5;59;116;둔각
17;130;33;둔각
32;31;117;둔각
29;119;32;둔각
136;19;25;둔각
49;112;19;둔각
21;7;152;둔각
19;114;47;둔각
31;16;133;둔각
3;159;18;둔각
122;11;47;둔각
48;66;66;예각
111;60;9;둔각
79;4;97;둔각
5;53;122;둔각
85;31;64;예각
92;9;79;둔각
63;56;61;예각
35;16;129;둔각
42;55;83;예각
89;75;16;예각
38;22;120;둔각
31;85;64;예각
31;102;47;둔각
31;2;147;둔각
125;11;44;둔각
32;105;43;둔각
59;33;88;예각
14;82;84;예각
133;36;11;둔각
17;157;6;둔각
31;73;76;예각
31;92;57;둔각
10;133;37;둔각
47;59;74;예각
109;69;2;둔각
130;44;6;둔각
39;104;37;둔각
6;157;17;둔각
16;128;36;둔각
106;48;26;둔각
93;19;68;둔각
16;26;138;둔각
40;89;51;예각
56;13;111;둔각
98;47;35;둔각
6;76;98;둔각
85;35;60;예각
72;57;51;예각
46;54;80;예각
127;51;2;둔각
147;5;28;둔각
116;28;36;둔각
7;77;96;둔각
34;75;71;예각
82;57;41;예각
59;64;57;예각
8;131;41;둔각
67;109;4;둔각
80;97;3;둔각
57;20;103;둔각
72;4;104;둔각
35;2;143;둔각
94;33;53;둔각
54;68;58;예각
39;15;126;둔각
51;68;61;예각
91;10;79;둔각
23;133;24;둔각
144;21;15;둔각
104;32;44;둔각
55;13;112;둔각
36;125;19;둔각
122;2;56;둔각
84;4;92;둔각
9;1;170;둔각
92;16;72;둔각
12;150;18;둔각
33;115;32;둔각
12;108;60;둔각
9;25;146;둔각
32;134;14;둔각
1;109;70;둔각
11;51;118;둔각
6;70;104;둔각
99;51;30;둔각
116;10;54;둔각
27;106;47;둔각
81;41;58;예각
59;53;68;예각
82;81;17;예각
25;70;85;예각
9;67;104;둔각
71;104;5;둔각
78;42;60;예각
117;58;5;둔각
52;10;118;둔각
121;8;51;둔각
9;6;165;둔각
33;137;10;둔각
37;91;52;둔각
5;102;73;둔각
51;63;66;예각
43;69;68;예각
39;68;73;예각
51;21;108;둔각
20;154;6;둔각
1;119;60;둔각
72;92;16;둔각
11;121;48;둔각
98;80;2;둔각
7;120;53;둔각
130;6;44;둔각
1;103;76;둔각
106;32;42;둔각
100;53;27;둔각
62;51;67;예각
92;46;42;둔각
107;14;59;둔각
18;119;43;둔각
10;131;39;둔각
41;2;137;둔각
56;110;14;둔각
136;40;4;둔각
159;13;8;둔각
7;24;149;둔각
46;87;47;예각
54;47;79;예각
136;41;3;둔각
27;32;121;둔각
39;61;80;예각
55;82;43;예각
15;63;102;둔각
71;38;71;예각
91;14;75;둔각
16;61;103;둔각
77;43;60;예각
3;70;107;둔각
26;25;129;둔각
61;23;96;둔각
65;82;33;예각
56;99;25;둔각
47;120;13;둔각
4;150;26;둔각
52;116;12;둔각
37;133;10;둔각
41;72;67;예각
78;77;25;예각
143;28;9;둔각
5;30;145;둔각
76;44;60;예각
110;51;19;둔각
13;88;79;예각
48;15;117;둔각
7;108;65;둔각
13;21;146;둔각
6;113;61;둔각
112;39;29;둔각
89;80;11;예각
89;46;45;예각
45;89;46;예각
34;90;56;직각
3;18;159;둔각
35;24;121;둔각
138;23;19;둔각
12;139;29;둔각
141;8;31;둔각
140;4;36;둔각
20;64;96;둔각
41;77;62;예각
23;45;112;둔각
7;81;92;둔각
53;53;74;예각
44;75;61;예각
5;161;14;둔각
4;151;25;둔각
133;35;12;둔각
50;2;128;둔각
30;8;142;둔각
136;13;31;둔각
27;125;28;둔각
44;7;129;둔각
14;160;6;둔각
23;34;123;둔각
23;115;42;둔각
87;17;76;예각
59;27;94;둔각
104;2;74;둔각
29;83;68;예각
52;111;17;둔각
5;5;170;둔각
67;30;83;예각
25;65;90;직각
2;38;140;둔각
12;167;1;둔각
48;45;87;예각
5;4;171;둔각
1;26;153;둔각
29;35;116;둔각
46;113;21;둔각
17;128;35;둔각
118;59;3;둔각
107;26;47;둔각
54;82;44;예각
42;2;136;둔각
5;174;1;둔각
40;8;132;둔각
130;12;38;둔각
38;129;13;둔각
47;84;49;예각
70;73;37;예각
61;67;52;예각
65;112;3;둔각
144;16;20;둔각
59;117;4;둔각
21;132;27;둔각
71;68;41;예각
15;99;66;둔각
56;33;91;둔각
58;64;58;예각
36;107;37;둔각
85;12;83;예각
140;32;8;둔각
61;71;48;예각
85;27;68;예각
11;155;14;둔각
28;7;145;둔각
74;39;67;예각
24;56;100;둔각
8;115;57;둔각
24;128;28;둔각
104;62;14;둔각
52;101;27;둔각
51;92;37;둔각
94;22;64;둔각
53;2;125;둔각
41;54;85;예각
90;36;54;직각
114;60;6;둔각
43;26;111;둔각
60;77;43;예각
166;1;13;둔각
5;149;26;둔각
13;115;52;둔각
108;21;51;둔각
88;28;64;예각
6;77;97;둔각
75;31;74;예각
4;71;105;둔각
137;13;30;둔각
43;123;14;둔각
15;27;138;둔각
31;95;54;둔각
114;34;32;둔각
2;120;58;둔각
2;64;114;둔각
22;129;29;둔각
116;39;25;둔각
7;152;21;둔각
141;32;7;둔각
38;76;66;예각
105;68;7;둔각
32;51;97;둔각
25;100;55;둔각
33;57;90;직각
46;85;49;예각
35;93;52;둔각
157;16;7;둔각
141;38;1;둔각
176;3;1;둔각
28;138;14;둔각
66;55;59;예각
72;98;10;둔각
1;23;156;둔각
116;1;63;둔각
95;49;36;둔각
37;114;29;둔각
105;26;49;둔각
14;107;59;둔각
49;15;116;둔각
57;40;83;예각
111;19;50;둔각
61;115;4;둔각
135;37;8;둔각
56;32;92;둔각
139;3;38;둔각
17;62;101;둔각
104;35;41;둔각
64;57;59;예각
5;159;16;둔각
34;39;107;둔각
84;85;11;예각
114;8;58;둔각
57;29;94;둔각
100;63;17;둔각
49;104;27;둔각
76;10;94;둔각
128;32;20;둔각
106;56;18;둔각
128;2;50;둔각
30;132;18;둔각
88;75;17;예각
62;42;76;예각
40;88;52;예각
153;8;19;둔각
6;143;31;둔각
26;136;18;둔각
58;23;99;둔각
70;103;7;둔각
139;22;19;둔각
11;54;115;둔각
133;15;32;둔각
59;16;105;둔각
33;98;49;둔각
39;93;48;둔각
64;27;89;예각
86;64;30;예각
36;12;132;둔각
107;69;4;둔각
79;79;22;예각
157;3;20;둔각
43;127;10;둔각
8;168;4;둔각
27;50;103;둔각
38;7;135;둔각
94;4;82;둔각
105;3;72;둔각
16;48;116;둔각
48;14;118;둔각
149;25;6;둔각
60;90;30;직각
33;146;1;둔각
118;39;23;둔각
9;58;113;둔각
72;8;100;둔각
131;22;27;둔각
24;39;117;둔각
21;38;121;둔각
75;15;90;직각
74;88;18;예각
131;19;30;둔각
11;97;72;둔각
91;38;51;둔각
18;136;26;둔각
111;38;31;둔각
110;57;13;둔각
5;3;172;둔각
29;97;54;둔각
86;85;9;예각
17;146;17;둔각
6;54;120;둔각
105;71;4;둔각
173;2;5;둔각
20;80;80;예각
11;160;9;둔각
27;10;143;둔각
55;15;110;둔각
111;46;23;둔각
109;66;5;둔각
102;51;27;둔각
34;12;134;둔각
33;26;121;둔각
53;58;69;예각
38;135;7;둔각
62;85;33;예각
26;66;88;예각
74;58;48;예각
81;13;86;예각
146;20;14;둔각
3;149;28;둔각
60;114;6;둔각
60;110;10;둔각
82;31;67;예각
8;32;140;둔각
110;13;57;둔각
67;34;79;예각
29;124;27;둔각
67;61;52;예각
57;44;79;예각
29;89;62;예각
107;55;18;둔각
44;52;84;예각
69;38;73;예각
79;20;81;예각
42;3;135;둔각
42;72;66;예각
58;86;36;예각
45;92;43;둔각
71;82;27;예각
136;5;39;둔각
133;5;42;둔각
140;19;21;둔각
2;131;47;둔각
66;11;103;둔각
19;5;156;둔각
101;46;33;둔각
2;49;129;둔각
99;76;5;둔각
79;42;59;예각
11;82;87;예각
8;107;65;둔각
61;82;37;예각
10;146;24;둔각
8;61;111;둔각
49;52;79;예각
50;112;18;둔각
4;149;27;둔각
57;114;9;둔각
42;60;78;예각
2;162;16;둔각
55;12;113;둔각
133;40;7;둔각
47;69;64;예각
50;22;108;둔각
145;24;11;둔각
1;39;140;둔각
109;14;57;둔각
32;1;147;둔각
20;95;65;둔각
119;21;40;둔각
95;55;30;둔각
61;95;24;둔각
27;136;17;둔각
95;34;51;둔각
25;23;132;둔각
29;134;17;둔각
29;146;5;둔각
90;50;40;직각
35;14;131;둔각
60;34;86;예각
58;75;47;예각
64;67;49;예각
37;130;13;둔각
21;2;157;둔각
16;31;133;둔각
3;71;106;둔각
122;29;29;둔각
12;120;48;둔각
81;61;38;예각
67;35;78;예각
69;56;55;예각
12;63;105;둔각
38;102;40;둔각
22;50;108;둔각
102;64;14;둔각
19;51;110;둔각
42;64;74;예각
17;45;118;둔각
46;18;116;둔각
63;24;93;둔각
73;80;27;예각
20;8;152;둔각
69;67;44;예각
148;26;6;둔각
60;117;3;둔각
88;9;83;예각
92;22;66;둔각
47;42;91;둔각
132;40;8;둔각
12;166;2;둔각
5;124;51;둔각
28;119;33;둔각
64;1;115;둔각
103;49;28;둔각
34;49;97;둔각
67;63;50;예각
27;104;49;둔각
99;78;3;둔각
66;37;77;예각
149;20;11;둔각
53;78;49;예각
72;80;28;예각
3;31;146;둔각
33;42;105;둔각
100;19;61;둔각
71;78;31;예각
53;26;101;둔각
13;142;25;둔각
77;82;21;예각
3;10;167;둔각
66;56;58;예각
142;25;13;둔각
23;29;128;둔각
27;56;97;둔각
119;2;59;둔각
9;48;123;둔각
54;50;76;예각
10;120;50;둔각
20;14;146;둔각
111;23;46;둔각
9;76;95;둔각
110;68;2;둔각
44;91;45;둔각
101;66;13;둔각
82;74;24;예각
9;159;12;둔각
31;75;74;예각
58;47;75;예각
18;159;3;둔각
1;31;148;둔각
65;66;49;예각
21;146;13;둔각
73;68;39;예각
10;48;122;둔각
36;104;40;둔각
106;18;56;둔각
132;5;43;둔각
47;26;107;둔각
37;5;138;둔각
93;15;72;둔각
78;85;17;예각
4;4;172;둔각
59;32;89;예각
98;9;73;둔각
60;56;64;예각
95;28;57;둔각
51;119;10;둔각
91;18;71;둔각
76;87;17;예각
38;117;25;둔각
64;71;45;예각
98;64;18;둔각
149;4;27;둔각
69;30;81;예각
35;65;80;예각
99;2;79;둔각
68;9;103;둔각
143;20;17;둔각
39;106;35;둔각
49;118;13;둔각
13;98;69;둔각
85;23;72;예각
12;55;113;둔각
20;104;56;둔각
75;28;77;예각
122;43;15;둔각
6;121;53;둔각
26;148;6;둔각
136;11;33;둔각
23;64;93;둔각
104;65;11;둔각
33;3;144;둔각
34;82;64;예각
24;16;140;둔각
8;151;21;둔각
122;32;26;둔각
124;1;55;둔각
61;114;5;둔각
15;56;109;둔각
31;89;60;예각
87;7;86;예각
40;37;103;둔각
105;22;53;둔각
59;97;24;둔각
94;54;32;둔각
37;58;85;예각
66;54;60;예각
28;122;30;둔각
21;158;1;둔각
11;22;147;둔각
18;86;76;예각
12;113;55;둔각
43;59;78;예각
81;73;26;예각
62;11;107;둔각
135;6;39;둔각
65;50;65;예각
9;21;150;둔각
9;141;30;둔각
25;91;64;둔각
22;94;64;둔각
6;145;29;둔각
169;7;4;둔각
19;143;18;둔각
65;18;97;둔각
66;20;94;둔각
55;31;94;둔각
22;141;17;둔각
20;77;83;예각
56;103;21;둔각
12;48;120;둔각
43;82;55;예각
24;146;10;둔각
76;21;83;예각
127;4;49;둔각
64;78;38;예각
60;15;105;둔각
117;37;26;둔각
44;131;5;둔각
22;111;47;둔각
66;101;13;둔각
7;157;16;둔각
136;10;34;둔각
21;55;104;둔각
59;80;41;예각
34;15;131;둔각
3;125;52;둔각
3;144;33;둔각
31;44;105;둔각
38;45;97;둔각
49;85;46;예각
82;50;48;예각
76;66;38;예각
134;18;28;둔각
22;76;82;예각
141;13;26;둔각
52;21;107;둔각
52;74;54;예각
7;118;55;둔각
93;6;81;둔각
7;64;109;둔각
117;10;53;둔각
10;119;51;둔각
86;26;68;예각
11;18;151;둔각
54;16;110;둔각
111;21;48;둔각
170;3;7;둔각
71;79;30;예각
51;28;101;둔각
86;16;78;예각
155;15;10;둔각
14;5;161;둔각
118;60;2;둔각
6;94;80;둔각
8;93;79;둔각
143;9;28;둔각
20;37;123;둔각
34;93;53;둔각
14;101;65;둔각
118;17;45;둔각
37;20;123;둔각
106;33;41;둔각
24;147;9;둔각
96;62;22;둔각
91;58;31;둔각
114;52;14;둔각
33;141;6;둔각
6;134;40;둔각
18;149;13;둔각
6;22;152;둔각
80;2;98;둔각
86;53;41;예각
60;36;84;예각
32;34;114;둔각
12;74;94;둔각
20;43;117;둔각
44;36;100;둔각
72;19;89;예각
14;13;153;둔각
92;50;38;둔각
97;81;2;둔각
5;80;95;둔각
5;91;84;둔각
54;57;69;예각
86;4;90;직각
10;4;166;둔각
43;62;75;예각
30;129;21;둔각
2;39;139;둔각
20;45;115;둔각
6;36;138;둔각
117;19;44;둔각
7;39;134;둔각
139;35;6;둔각
93;9;78;둔각
154;24;2;둔각
53;34;93;둔각
22;98;60;둔각
51;44;85;예각
36;88;56;예각
52;42;86;예각
20;128;32;둔각
123;52;5;둔각
69;107;4;둔각
95;84;1;둔각
121;19;40;둔각
138;37;5;둔각
1;137;42;둔각
29;23;128;둔각
84;21;75;예각
26;149;5;둔각
35;8;137;둔각
143;16;21;둔각
145;28;7;둔각
85;51;44;예각
74;96;10;둔각
129;50;1;둔각
102;55;23;둔각
111;4;65;둔각
51;26;103;둔각
24;154;2;둔각
28;6;146;둔각
132;34;14;둔각
11;125;44;둔각
3;91;86;둔각
93;42;45;둔각
29;16;135;둔각
66;6;108;둔각
3;136;41;둔각
89;5;86;예각
10;95;75;둔각
10;56;114;둔각
110;23;47;둔각
32;97;51;둔각
27;124;29;둔각
49;76;55;예각
122;3;55;둔각
26;27;127;둔각
29;86;65;예각
116;54;10;둔각
33;4;143;둔각
4;45;131;둔각
109;54;17;둔각
57;53;70;예각
74;78;28;예각
99;27;54;둔각
26;37;117;둔각
31;33;116;둔각
4;106;70;둔각
2;56;122;둔각
69;89;22;예각
83;96;1;둔각
41;69;70;예각
84;7;89;예각
49;107;24;둔각
9;38;133;둔각
129;20;31;둔각
41;33;106;둔각
69;34;77;예각
19;52;109;둔각
66;88;26;예각
14;23;143;둔각
50;63;67;예각
162;14;4;둔각
84;77;19;예각
6;74;100;둔각
32;90;58;직각
66;41;73;예각
12;125;43;둔각
49;100;31;둔각
10;82;88;예각
62;87;31;예각
93;25;62;둔각
107;49;24;둔각
29;3;148;둔각
50;37;93;둔각
12;76;92;둔각
125;1;54;둔각
4;29;147;둔각
80;3;97;둔각
146;15;19;둔각
3;143;34;둔각
28;110;42;둔각
10;30;140;둔각
65;22;93;둔각
1;83;96;둔각
89;12;79;예각
8;3;169;둔각
86;56;38;예각
1;121;58;둔각
1;170;9;둔각
41;42;97;둔각
40;70;70;예각
76;102;2;둔각
41;76;63;예각
58;46;76;예각
16;21;143;둔각
